Date collected,Treatment,Bag #,Broodstock,Silo Number, Vol. for count (mL) ,Total Vol (mL),Count A LIVE,Count A DEAD,Count B LIVE,Count B DEAD,Count C LIVE,Count C DEAD,Total A,Total B,Total C, Mean Larvae / mL , # Larvae Collected , Volume needed for 800 larvae ,# Larvae actually stocked, Approx. larvae sampled , Larvae sample Number (in -80) , # Samples Preserved ,Notes
4/6/18,A2,23 or 25,36,A2-2,0.3,660,131,0,143,0,133,1,131,143,134,452,"298,467",1.77,800,"296,067",48,,
4/7/18,A1,1 or 15,37,NA,1,450,27,0,17,0,19,0,27,17,19,21,"9,450",38.1,,"7,050",49,1,
4/7/18,B2,11 or 13,40,B2-5,0.1,975,111,2,106,0,135,0,113,106,135,"1,173","1,144,000",0.68,,"1,141,600",50,3,
4/7/18,B2,9 or 10,40,B2-6,0.3,700,81,3,69,5,79,3,84,74,82,254,"178,111",3.14,,"175,711",51,1,
4/7/18,D1,3 or 4,40,D1-4,0.2,750,81,0,89,0,104,0,81,89,104,457,"342,500",1.75,,"340,100",52,1,
4/7/18,C2,19 or 21,23,C2-3,0.7,490,137,0,124,0,133,1,137,124,134,188,"91,933",4.26,,"89,533",53,1,
4/7/18,A1,5 or 16,36,NA,1,470,26,0,21,0,19,0,26,21,19,22,"10,340",36.36,,"7,940",54,1,
4/7/18,A2,23 or 25,36,NA,1,460,53,0,61,0,59,1,53,61,60,58,"26,527",13.87,,"24,127",55,1,
4/7/18,D2,2 or 8,35,D2-4,0.5,600,66,1,88,0,82,0,67,88,82,157,"94,400",5.08,,"92,000",56,1,
4/7/18,C1,29 or 30,34,C1-2,0.5,740,115,0,100,0,91,0,115,100,91,204,"150,960",3.92,,"148,560",57,1,
4/7/18,D2,6 or 7,37,D2-5,0.1,975,98,0,93,0,99,0,98,93,99,967,"942,500",0.83,,"940,100",58,3,
4/7/18,B1,17 or 28,35,NA,0.5,520,36,0,28,1,33,0,36,29,33,65,"33,627",12.37,,"31,227",59,1,
4/7/18,C1,31 or 32,29,NA,0.5,450,29,0,27,0,24,0,29,27,24,53,"24,000",15,,"21,600",60,1,
4/7/18,A2,24 or 26,32,NA,0.5,450,16,3,10,12,6,9,19,22,15,21,"9,600",37.5,,"7,200",61,1,
4/8/18,D1,12 or 14,34,D1-5,0.1,970,124,0,114,0,122,0,124,114,122,"1,200","1,164,000",0.67,,"1,161,600",62,3,
4/8/18,A1,1 or 15,36,A1-5,0.1,970,203,0,218,0,219,0,203,218,219,"2,133","2,069,333",0.38,,"2,066,933",63,4,
4/8/18,B2,9 or 10,40,NA,0.4,490,245,1,267,1,245,1,246,268,246,631,"309,108",1.27,,"306,708",64,1,
4/8/18,D1,3 or 4,40,NA,0.3,790,193,0,214,0,205,0,193,214,205,680,"537,200",1.18,,"534,800",65,2,
4/8/18,C2,19 or 21,23,NA,0.3,810,116,0,130,0,133,0,116,130,133,421,"341,100",1.9,,"338,700",66,1,
4/8/18,A1,5 or 16,35,A1-6,0.1,925,135,0,170,0,139,0,135,170,139,"1,480","1,369,000",0.54,,"1,366,600",67,3,
4/8/18,C1,29 or 30,34,NA,0.1,980,103,0,134,0,107,0,103,134,107,"1,147","1,123,733",0.7,,"1,121,333",68,3,
4/8/18,D2,6 or 7,37,NA,0.4,630,113,0,107,0,125,0,113,107,125,288,"181,125",2.78,,"178,725",69,1,
4/8/18,B1,17 or 28,35,B1-3,0.4,680,141,0,163,0,153,0,141,163,153,381,"258,967",2.1,,"256,567",70,1,
4/8/18,C1,31 or 32,29,C1-3,0.3,740,135,0,139,0,175,0,135,139,175,499,"369,178",1.6,,"366,778",71,2,
4/8/18,A2,24 or 26,32,A2-1,0.3,700,109,0,92,0,105,0,109,92,105,340,"238,000",2.35,,"235,600",72,2,
4/8/18,B1,18 or 27,37,B1-1,0.25,910,169,0,197,0,174,0,169,197,174,720,"655,200",1.11,,"652,800",73,2,
4/8/18,D2,2 or 8,35,NA,0.5,500,92,0,103,0,95,0,92,103,95,193,"96,667",4.14,,"94,267",74,1,
4/9/18,B1,18 or 27,37,NA,0.1,840,95,0,87,0,108,0,95,87,108,967,"812,000",0.83,,"809,600",75,,
4/9/18,C1,31 or 32,29,NA,0.5,450,68,2,64,0,48,1,70,64,49,120,"54,000",6.67,,"51,600",76,,
4/9/18,D2,6 or 7,37,D2-6,0.3,720,137,0,121,0,134,0,137,121,134,436,"313,600",1.84,,"311,200",77,,
4/9/18,C1,29 or 30,34,C1-4,0.3,745,103,0,94,1,103,0,103,95,103,333,"248,333",2.4,,"245,933",78,,
4/9/18,D2,2 or 8,35,NA,0.5,450,38,0,32,0,34,0,38,32,34,69,"31,200",11.54,,"28,800",79,,
4/9/18,A1,1 or 15,36,NA,0.4,500,78,0,59,0,66,0,78,59,66,169,"84,583",4.73,,"82,183",80,,
4/9/18,B2,9 or 10,40,B2-1,0.3,620,129,1,121,1,121,0,130,122,121,412,"255,578",1.94,,"253,178",81,,
